,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,MEDUZA,Paradise,Paradise (feat. Dermot Kennedy),6ft4hAq6yde8jPZY2i5zLr,0.632,0.595,8,-7.644,0,0.0401,0,0.209,0.435,124.114,167903,4
1,Ariana Grande,Positions,motive (with Doja Cat),5GkQIP5mWPi4KZLLXeuFTT,0.789,0.742,10,-5.664,0,0.0652,0,0.166,0.661,116.965,167990,4
2,Shawn Mendes,Wonder,Wonder,5KCbr5ndeby4y4ggthdiAb,0.333,0.637,1,-4.904,0,0.0581,1.8e-05,0.149,0.132,139.898,172693,4
3,The Weeknd,In Your Eyes (Remix),In Your Eyes (feat. Kenny G) - Remix,1SySkCqhEG6Z68o2n07Bsr,0.606,0.786,7,-3.854,0,0.0366,9.46e-05,0.0725,0.525,99.969,256551,4
4,Fleetwood Mac,Rumours (Super Deluxe),Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,0.828,0.492,0,-9.744,1,0.0276,0.00428,0.128,0.789,120.151,257800,4
5,Sia,Courage to Change,Courage to Change,2MbgQKWhoii8bqsMBWWWgA,0.307,0.606,11,-5.567,0,0.0347,0,0.357,0.11,78.828,292656,4
6,Bastille,survivin',survivin',1lwvJQGhdq6Kyr4BBquf23,0.787,0.78,7,-5.023,1,0.129,0,0.0908,0.68,95.035,173206,4
7,Ritt Momney,Put Your Records On,Put Your Records On,1fah1uAs7HeTYDlNftKr3K,0.399,0.492,6,-10.777,0,0.0538,0.00101,0.11,0.159,91.066,210463,4
8,Jawsh 685,Savage Love (Laxed - Siren Beat) [BTS Remix],Savage Love (Laxed – Siren Beat) [BTS Remix],4TgxFMOn5yoESW6zCidCXL,0.758,0.598,0,-5.695,0,0.0868,0,0.295,0.658,149.836,184905,4
9,Joji,Nectar,Your Man,6Vgtvd7I5yopJdBuxqjBd2,0.785,0.818,7,-8.711,1,0.099,0.149,0.149,0.0503,117.98,163759,4
10,Marshmello,OK Not To Be OK,OK Not To Be OK,0zzVTGyRrWpQu8Fr28NRAv,0.743,0.837,1,-5.025,0,0.0649,0,0.0743,0.263,103.072,159863,4
11,MAX,Blueberry Eyes (feat. SUGA of BTS),Blueberry Eyes (feat. SUGA of BTS),5dn6QANKbf76pANGjMBida,0.746,0.611,0,-7.034,0,0.101,0.000922,0.133,0.411,149.967,172245,4
12,Justin Bieber,Holy,Holy (feat. Chance The Rapper),5u1n1kITHCxxp8twBcZxWy,0.673,0.704,6,-8.056,1,0.36,0,0.0898,0.372,86.919,212093,4
13,Sigala,Lasting Lover,Lasting Lover,0DmAvNCAK08oCi7miSZUIY,0.676,0.786,1,-4.529,1,0.0478,0,0.0943,0.483,125.983,218359,4
14,ILLENIUM,Nightlight,Nightlight,06kxa3al7bUqRRo5nAFduZ,0.494,0.651,11,-4.127,0,0.0384,0,0.104,0.162,149.979,222400,4
15,Lukas Graham,Share That Love (feat. G-Eazy),Share That Love (feat. G-Eazy),44l9nnCVvOQBbWG6tDViKl,0.715,0.658,11,-4.304,0,0.106,0,0.0742,0.795,158.024,172399,4
16,Miley Cyrus,Midnight Sky,Midnight Sky,27ycaQnQAxaPiyeg3nr2aB,0.705,0.814,4,-5.466,0,0.0346,0.00312,0.203,0.259,110.0,223279,4
17,John Legend,Bigger Love,Wild (feat. Gary Clark Jr.),4rVW6XqAsSaf5vOwc8FREW,0.557,0.585,8,-6.201,1,0.0431,0,0.176,0.305,63.392,196907,4
18,Sabrina Carpenter,Let Me Move You (From the Netflix film Work It),Let Me Move You - From the Netflix film Work It,0roOLcll6SSTYZwsQFmXqP,0.624,0.628,4,-6.582,0,0.0408,0.0191,0.0814,0.772,114.556,147071,4
19,BTS,Dynamite,Dynamite,0v1x6rN6JHRapa03JElljE,0.746,0.765,6,-4.41,0,0.0993,0,0.0936,0.737,114.044,199054,4
20,MisterWives,SUPERBLOOM,SUPERBLOOM,2HvtedoEeymVWrBPyAMNwZ,0.558,0.889,8,-3.945,1,0.102,0.000387,0.328,0.716,170.102,213547,4
21,Harry Styles,Fine Line,Adore You,3jjujdWJ72nww5eGnfs2E7,0.676,0.771,8,-3.675,1,0.0483,7e-06,0.102,0.569,99.048,207133,4
22,BØRNS,Dopamine,Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,0.611,0.797,6,-7.627,0,0.0533,0.00137,0.26,0.518,120.041,218107,4
23,Sam Smith,Dancing With A Stranger (with Normani),Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,0.741,0.52,8,-7.513,1,0.0656,1.97e-06,0.222,0.347,102.998,171030,4
24,Jason Derulo,Take You Dancing,Take You Dancing,59qrUpoplZxbIZxk6X0Bm3,0.789,0.711,2,-4.248,1,0.041,0,0.0876,0.753,112.985,190306,4
25,Joel Corry,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,0.734,0.874,8,-3.158,1,0.0662,1.14e-05,0.0489,0.905,122.953,166028,4
26,Kane Brown,Be Like That (feat. Swae Lee & Khalid),Be Like That - feat. Swae Lee & Khalid,5f1joOtoMeyppIcJGZQvqJ,0.727,0.626,7,-8.415,1,0.0726,2.58e-05,0.126,0.322,86.97,191406,4
27,Curtis Waters,Stunnin' (feat. Harm Franklin),Stunnin' (feat. Harm Franklin),2D0dj3hVkRQJCp63cxCPEx,0.885,0.685,11,-6.429,0,0.0627,0,0.148,0.937,99.954,144000,4
28,Dermot Kennedy,Giants,Giants,0l4AReW2LuX0yStPfgQgSR,0.579,0.839,8,-5.409,0,0.0703,3.04e-05,0.201,0.589,158.141,177173,4
29,JAWNY,Honeypie,Honeypie,6JqYhSdTE4WbQrMXxPH5cD,0.742,0.678,5,-4.605,0,0.192,0,0.151,0.927,115.05,135521,4
30,The Weeknd,After Hours,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,9.54e-05,0.0897,0.334,171.005,200040,4
31,Diplo,Diplo Presents Thomas Wesley Chapter 1: Snake Oil,Dance with Me (feat. Thomas Rhett & Young Thug),6wXgnhpmOPEJ7cUweSyy2B,0.73,0.792,6,-5.33,0,0.13,0,0.101,0.745,99.039,170158,4
32,Kodaline,Wherever You Are,Wherever You Are,1b3nlcP6hogIzYRVK2Ui7K,0.514,0.612,4,-5.981,1,0.0298,0,0.0868,0.342,125.99,185005,4
33,Lady Gaga,Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),24ySl2hOPGCDcxBxFIqWBu,0.672,0.855,9,-3.764,1,0.0397,0,0.323,0.646,123.056,182200,4
34,Sia,Together,Together,5id3Rqn7SPj1LX4FfY4nGz,0.521,0.877,7,-5.444,1,0.0683,0.0806,0.0929,0.199,180.007,205208,4
