,Unnamed: 0,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
70,70,The Chainsmokers,World War Joy,Call You Mine,05CwHjIk71RXVU40boRMnR,0.591,0.7020000000000001,7,-5.59,1,0.0289,0.0,0.414,0.501,104.003,217653,4,5
76,76,Engelwood,Crust Fm,Crystal Dolphin,6kx8Hf1Udk4V0Ivq6zpoyG,0.5670000000000001,0.687,1,-9.041,0,0.125,0.00293,0.474,0.396,128.201,115518,4,5
85,85,JVKE,Upside Down,Upside Down,614OkajfRPH8V0ugNQnduP,0.88,0.501,2,-6.774,1,0.062,0.0695,0.436,0.459,120.038,114500,4,5
89,89,Keith Urban,One Too Many,One Too Many,5NUXE8W12lWcUXgJRCjeEw,0.6970000000000001,0.535,4,-6.504,1,0.068,0.0,0.569,0.594,82.959,203893,4,5
93,93,HEDEGAARD,Alone With You (HEDEGAARD X Conor Maynard feat. Katie Pearlman),Alone With You (HEDEGAARD X Conor Maynard feat. Katie Pearlman),4BHOaph5egfjkqM5lPRM1j,0.742,0.7509999999999999,1,-6.1370000000000005,0,0.0622,0.0,0.452,0.175,99.999,189900,4,5
130,130,JP Cooper,Little Bit Of Love,Little Bit Of Love - Indian Summer Remix,4WEojtwHd0MUF3sPz5ITAj,0.708,0.758,7,-4.453,1,0.0367,1.04e-05,0.418,0.272,101.017,205200,4,5
187,187,Anderson .Paak,JEWELZ,JEWELZ,2IFFKj9orAsQOOS0JRhHAW,0.884,0.653,11,-7.653,0,0.0586,0.00135,0.812,0.7659999999999999,108.548,174213,4,5
227,227,"Tyler, The Creator",IGOR,EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,0.5539999999999999,0.498,9,-8.866,1,0.0685,5.98e-06,0.795,0.413,79.635,190067,4,5
228,228,Dayglow,Fuzzybrain,Can I Call You Tonight?,5Ti99QiUdIwe0xG4gS22FL,0.6409999999999999,0.8420000000000001,9,-7.27,1,0.0292,0.91,0.419,0.5,129.98,278769,4,5
234,234,The Avalanches,Running Red Lights (feat. Rivers Cuomo & Pink Siifu),Running Red Lights (feat. Rivers Cuomo & Pink Siifu),0UdYkM8rQeOV9B8n65fsfN,0.672,0.684,2,-6.084,1,0.0235,0.0,0.393,0.664,100.51,279613,4,5
243,243,Yoke Lore,Everybody Wants To Be Loved,Everybody Wants To Be Loved,1dS91GGSKkkpIwKnEM4n8j,0.6559999999999999,0.574,9,-7.66,0,0.0808,0.527,0.713,0.251,119.498,213138,4,5
251,251,Arizona Zervas,ROXANNE,ROXANNE,696DnlkuDOXcMAnKlTgXXK,0.621,0.601,6,-5.6160000000000005,0,0.14800000000000002,0.0,0.46,0.457,116.735,163636,5,5
297,297,Hailee Steinfeld,HAIZ,Love Myself,36phXHOKx8rO7CMp2vNX4x,0.617,0.759,0,-6.785,0,0.0678,0.0,0.419,0.324,122.924,218773,4,5
357,357,Colbie Caillat,Brighter Than The Sun,Brighter Than The Sun,6Ese4lZeXdyfQfaLuQH58A,0.633,0.797,9,-5.812,1,0.0347,1.35e-06,0.51,0.59,96.039,230253,4,5
364,364,Heylu,Free Fall,Free Fall,69pIONvLfx6GyKOsdTowt8,0.595,0.878,8,-6.4689999999999985,1,0.0443,0.00358,0.638,0.73,133.997,176418,4,5
