,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
0,MEDUZA,Paradise,Paradise (feat. Dermot Kennedy),6ft4hAq6yde8jPZY2i5zLr,0.632,0.595,8,-7.644,0,0.0401,0.0,0.209,0.435,124.11399999999999,167903,4,7
1,Ariana Grande,Positions,motive (with Doja Cat),5GkQIP5mWPi4KZLLXeuFTT,0.789,0.742,10,-5.664,0,0.0652,0.0,0.166,0.6609999999999999,116.965,167990,4,7
2,Shawn Mendes,Wonder,Wonder,5KCbr5ndeby4y4ggthdiAb,0.33299999999999996,0.637,1,-4.904,0,0.0581,1.8e-05,0.149,0.132,139.898,172693,4,3
3,The Weeknd,In Your Eyes (Remix),In Your Eyes (feat. Kenny G) - Remix,1SySkCqhEG6Z68o2n07Bsr,0.606,0.7859999999999999,7,-3.8539999999999996,0,0.0366,9.46e-05,0.0725,0.525,99.969,256551,4,7
4,Fleetwood Mac,Rumours (Super Deluxe),Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,0.828,0.49200000000000005,0,-9.744,1,0.0276,0.00428,0.128,0.789,120.15100000000001,257800,4,6
5,Sia,Courage to Change,Courage to Change,2MbgQKWhoii8bqsMBWWWgA,0.307,0.606,11,-5.567,0,0.0347,0.0,0.35700000000000004,0.11,78.828,292656,4,2
6,Bastille,survivin',survivin',1lwvJQGhdq6Kyr4BBquf23,0.787,0.78,7,-5.023,1,0.129,0.0,0.0908,0.68,95.035,173206,4,6
7,Ritt Momney,Put Your Records On,Put Your Records On,1fah1uAs7HeTYDlNftKr3K,0.39899999999999997,0.49200000000000005,6,-10.777000000000001,0,0.0538,0.00101,0.11,0.159,91.066,210463,4,2
8,Jawsh 685,Savage Love (Laxed - Siren Beat) [BTS Remix],Savage Love (Laxed – Siren Beat) [BTS Remix],4TgxFMOn5yoESW6zCidCXL,0.758,0.598,0,-5.695,0,0.0868,0.0,0.295,0.6579999999999999,149.836,184905,4,7
9,Joji,Nectar,Your Man,6Vgtvd7I5yopJdBuxqjBd2,0.785,0.818,7,-8.711,1,0.099,0.149,0.149,0.0503,117.98,163759,4,6
10,Marshmello,OK Not To Be OK,OK Not To Be OK,0zzVTGyRrWpQu8Fr28NRAv,0.743,0.8370000000000001,1,-5.025,0,0.0649,0.0,0.0743,0.263,103.072,159863,4,7
11,MAX,Blueberry Eyes (feat. SUGA of BTS),Blueberry Eyes (feat. SUGA of BTS),5dn6QANKbf76pANGjMBida,0.746,0.611,0,-7.034,0,0.10099999999999999,0.0009220000000000001,0.133,0.41100000000000003,149.967,172245,4,7
12,Justin Bieber,Holy,Holy (feat. Chance The Rapper),5u1n1kITHCxxp8twBcZxWy,0.6729999999999999,0.7040000000000001,6,-8.056000000000001,1,0.36,0.0,0.0898,0.37200000000000005,86.919,212093,4,1
13,Sigala,Lasting Lover,Lasting Lover,0DmAvNCAK08oCi7miSZUIY,0.6759999999999999,0.7859999999999999,1,-4.529,1,0.0478,0.0,0.0943,0.483,125.98299999999999,218359,4,6
14,ILLENIUM,Nightlight,Nightlight,06kxa3al7bUqRRo5nAFduZ,0.494,0.6509999999999999,11,-4.127,0,0.0384,0.0,0.10400000000000001,0.162,149.97899999999998,222400,4,3
15,Lukas Graham,Share That Love (feat. G-Eazy),Share That Love (feat. G-Eazy),44l9nnCVvOQBbWG6tDViKl,0.715,0.6579999999999999,11,-4.303999999999999,0,0.106,0.0,0.0742,0.795,158.024,172399,4,7
16,Miley Cyrus,Midnight Sky,Midnight Sky,27ycaQnQAxaPiyeg3nr2aB,0.705,0.8140000000000001,4,-5.466,0,0.0346,0.00312,0.203,0.259,110.0,223279,4,7
17,John Legend,Bigger Love,Wild (feat. Gary Clark Jr.),4rVW6XqAsSaf5vOwc8FREW,0.557,0.585,8,-6.2010000000000005,1,0.0431,0.0,0.17600000000000002,0.305,63.391999999999996,196907,4,2
18,Sabrina Carpenter,Let Me Move You (From the Netflix film Work It),Let Me Move You - From the Netflix film Work It,0roOLcll6SSTYZwsQFmXqP,0.624,0.628,4,-6.582000000000001,0,0.0408,0.0191,0.0814,0.772,114.556,147071,4,7
19,BTS,Dynamite,Dynamite,0v1x6rN6JHRapa03JElljE,0.746,0.765,6,-4.41,0,0.0993,0.0,0.0936,0.737,114.044,199054,4,7
20,MisterWives,SUPERBLOOM,SUPERBLOOM,2HvtedoEeymVWrBPyAMNwZ,0.5579999999999999,0.889,8,-3.945,1,0.102,0.00038700000000000003,0.32799999999999996,0.716,170.102,213547,4,3
21,Harry Styles,Fine Line,Adore You,3jjujdWJ72nww5eGnfs2E7,0.6759999999999999,0.7709999999999999,8,-3.675,1,0.0483,7.000000000000001e-06,0.102,0.569,99.04799999999999,207133,4,6
22,BØRNS,Dopamine,Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,0.611,0.797,6,-7.627000000000001,0,0.0533,0.00137,0.26,0.518,120.041,218107,4,7
23,Sam Smith,Dancing With A Stranger (with Normani),Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,0.741,0.52,8,-7.513,1,0.0656,1.97e-06,0.222,0.34700000000000003,102.99799999999999,171030,4,6
24,Jason Derulo,Take You Dancing,Take You Dancing,59qrUpoplZxbIZxk6X0Bm3,0.789,0.711,2,-4.248,1,0.040999999999999995,0.0,0.0876,0.753,112.985,190306,4,6
25,Joel Corry,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,0.7340000000000001,0.8740000000000001,8,-3.158,1,0.0662,1.1400000000000001e-05,0.0489,0.905,122.95299999999999,166028,4,6
26,Kane Brown,Be Like That (feat. Swae Lee & Khalid),Be Like That - feat. Swae Lee & Khalid,5f1joOtoMeyppIcJGZQvqJ,0.727,0.626,7,-8.415,1,0.0726,2.58e-05,0.126,0.322,86.97,191406,4,6
27,Curtis Waters,Stunnin' (feat. Harm Franklin),Stunnin' (feat. Harm Franklin),2D0dj3hVkRQJCp63cxCPEx,0.885,0.685,11,-6.428999999999999,0,0.0627,0.0,0.14800000000000002,0.937,99.954,144000,4,7
28,Dermot Kennedy,Giants,Giants,0l4AReW2LuX0yStPfgQgSR,0.579,0.8390000000000001,8,-5.409,0,0.0703,3.04e-05,0.201,0.589,158.141,177173,4,7
29,JAWNY,Honeypie,Honeypie,6JqYhSdTE4WbQrMXxPH5cD,0.742,0.6779999999999999,5,-4.605,0,0.192,0.0,0.151,0.927,115.05,135521,4,7
30,The Weeknd,After Hours,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,9.54e-05,0.0897,0.33399999999999996,171.005,200040,4,3
31,Diplo,Diplo Presents Thomas Wesley Chapter 1: Snake Oil,Dance with Me (feat. Thomas Rhett & Young Thug),6wXgnhpmOPEJ7cUweSyy2B,0.73,0.792,6,-5.33,0,0.13,0.0,0.10099999999999999,0.745,99.039,170158,4,7
32,Kodaline,Wherever You Are,Wherever You Are,1b3nlcP6hogIzYRVK2Ui7K,0.514,0.612,4,-5.981,1,0.0298,0.0,0.0868,0.342,125.99,185005,4,3
33,Lady Gaga,Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),24ySl2hOPGCDcxBxFIqWBu,0.672,0.855,9,-3.764,1,0.0397,0.0,0.32299999999999995,0.6459999999999999,123.056,182200,4,6
34,Sia,Together,Together,5id3Rqn7SPj1LX4FfY4nGz,0.521,0.877,7,-5.444,1,0.0683,0.0806,0.0929,0.19899999999999998,180.007,205208,4,3
35,Katy Perry,Daisies,Daisies,4uqh9bualXNHXXwO2wPorc,0.639,0.546,1,-5.382000000000001,1,0.0407,0.0,0.122,0.149,122.179,173124,4,2
36,Various Artists,SCOOB! The Album,On Me (feat. Ava Max),7k6tAZp4m93oswrPqSfBbc,0.5479999999999999,0.721,8,-4.466,1,0.0472,0.0,0.21600000000000003,0.594,177.918,164683,4,3
37,Kygo,Lose Somebody,Lose Somebody,7xbWAw3LMgRMn4omR5yVn3,0.58,0.586,1,-6.882999999999999,1,0.0357,0.0,0.0755,0.507,147.988,199549,4,3
38,Social House,Magic In The Hamptons (feat. Lil Yachty),Magic In The Hamptons (feat. Lil Yachty),2Yer0p7uB2lVBUAtANuuQp,0.769,0.479,1,-5.3389999999999995,1,0.0385,0.0,0.0914,0.8029999999999999,96.051,164640,4,6
39,Marshmello,Be Kind (with Halsey),Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A,0.63,0.633,4,-7.087999999999999,1,0.0457,0.0,0.0541,0.452,93.995,172762,4,6
40,PUBLIC,Make You Mine,Make You Mine,5iFwAOB2TFkPJk8sMlxP8g,0.606,0.799,9,-4.452,1,0.0261,0.0,0.15,0.638,103.014,232907,4,6
41,Alesso,Midnight (feat. Liam Payne),Midnight (feat. Liam Payne),4ZTTUAjJCd4NMZmIU7RB4c,0.5870000000000001,0.648,11,-6.9270000000000005,0,0.0439,0.0,0.115,0.281,144.028,220141,4,7
42,Kygo,Freedom,Freedom,5Gj1wG8b12VQdEd3hUuSwo,0.715,0.635,7,-6.591,1,0.0791,0.0,0.0862,0.39,112.887,198635,4,6
43,Surf Mesa,ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),62aP9fBQKYKxi7PDXwcUAS,0.674,0.774,11,-7.567,0,0.0892,0.0018800000000000002,0.39299999999999996,0.33,112.05,176547,4,7
44,FINNEAS,Let’s Fall In Love For The Night,Let's Fall in Love for the Night,7kQkmyoHCEqwe7QwDbkSXM,0.737,0.408,5,-7.941,1,0.10400000000000001,0.0,0.171,0.374,127.921,190348,4,6
45,Bastille,Joy,Joy,3QpkbrYXtlU3LRJu3sTK6V,0.5589999999999999,0.915,9,-4.811,1,0.132,0.0,0.113,0.361,117.914,192523,4,3
46,OneRepublic,Better Days,Better Days,2K0r5GD5zYlEMx2M7ZMcqG,0.626,0.726,5,-5.015,1,0.0376,0.0,0.304,0.257,89.132,144530,4,6
47,Hailee Steinfeld,I Love You’s,I Love You's,28Tv8zltFDr5wBCG3Pfky4,0.682,0.7829999999999999,8,-4.997,1,0.18,0.0,0.20600000000000002,0.32299999999999995,106.899,216084,4,6
48,R3HAB,Good Example (with Andy Grammer),Good Example (with Andy Grammer),5SspaMrPfWyRCS0GpjIxa6,0.456,0.496,1,-6.986000000000001,1,0.0743,0.0,0.134,0.45,90.552,149053,4,2
49,Niall Horan,Heartbreak Weather,Black And White,7rpNuuoMbid56XkDsx2FjE,0.44299999999999995,0.5820000000000001,2,-6.02,1,0.0482,0.0,0.127,0.239,147.589,193090,4,3
50,John Legend,Conversations in the Dark,Conversations in the Dark - John Legend vs. David Guetta,20d27F17AZOxTJOEHAVK2Y,0.5720000000000001,0.742,8,-4.5889999999999995,0,0.0347,0.0,0.10800000000000001,0.376,127.19,210236,4,7
51,Surfaces,Horizons,Take It Easy,5Pgq1Gfeth2CuUhyCXwlfC,0.765,0.6890000000000001,6,-5.6160000000000005,1,0.0456,7.39e-06,0.114,0.49700000000000005,144.958,212850,4,6
52,Khalid,Know Your Worth,Know Your Worth,0TrPqhAMoaKUFLR7iYDokf,0.79,0.6940000000000001,9,-7.726,0,0.0708,0.00252,0.281,0.508,103.007,181436,4,7
53,Lauv,~how i'm feeling~,Tattoos Together,0ycFQvBTfuo1LCdG0HhszL,0.862,0.4,4,-7.486000000000001,1,0.0736,7.49e-06,0.12300000000000001,0.596,122.963,186613,4,6
54,Jonas Brothers,What A Man Gotta Do,What A Man Gotta Do,4wNIkl5XGiAACjFBlDWuSd,0.852,0.698,9,-7.206,1,0.0629,1.03e-06,0.0773,0.324,113.039,180645,4,6
55,Harry Styles,Watermelon Sugar,Watermelon Sugar,1e9oZCCiX42nJl0AcqriVo,0.5479999999999999,0.816,0,-4.209,1,0.0465,0.0,0.335,0.557,95.39,174000,4,6
56,Maren Morris,The Bones (with Hozier),The Bones - with Hozier,1yTTMcUhL7rtz08Dsgb7Qb,0.561,0.597,11,-6.0,0,0.0405,0.0,0.0979,0.355,76.82600000000001,197299,4,7
